type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,40:91:51:FB:BC:00,-61,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,2715360,0,28,0,0,3.11537,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -30 3 -26 0 -31 1 -28 1 -30 -2 -25 -2 -27 -3 -27 -6 -27 -6 -28 -6 -28 -5 -28 -5 -28 -7 -26 -7 -22 -6 -27 -7 -23 -6 -24 -7 -20 -6 -22 -7 -22 -8 -22 -6 -23 -6 -22 -5 -24 -5 -22 -6 0 0 -21 -4 -26 -3 -21 -2 -24 -1 -19 0 -22 -2 -23 -1 -20 -2 -23 0 -24 -1 -23 1 -21 1 -22 3 -20 1 -24 2 -22 2 -25 4 -20 3 -22 2 -22 4 -23 2 -22 5 -23 4 -21 5 -21 6 -20 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-61,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,2716522,0,157,0,0,3.14956,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 9 -24 10 -22 12 -24 12 -22 14 -22 13 -18 15 -19 16 -17 17 -17 16 -19 15 -20 15 -20 16 -19 15 -19 15 -15 18 -18 15 -15 14 -15 13 -13 15 -13 15 -12 15 -14 13 -14 12 -16 12 -17 13 -15 0 0 12 -16 13 -17 12 -16 10 -18 9 -15 11 -17 11 -16 12 -15 9 -20 12 -17 9 -18 7 -16 6 -20 8 -17 10 -18 8 -18 9 -20 7 -17 9 -18 8 -18 9 -18 7 -18 5 -19 5 -19 3 -19 3 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-61,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,2807509,0,135,0,0,3.20718,128,[-121 112 8 0 0 0 0 0 0 0 0 0 26 -11 24 -9 27 -9 26 -8 28 -7 24 -5 25 -5 25 -5 27 -4 26 -3 26 -3 26 -3 27 -2 26 -3 24 -2 26 -2 23 -2 23 -2 21 -2 21 -2 20 -2 22 -3 21 -3 21 -3 22 -4 21 -4 0 0 20 -6 23 -6 20 -6 20 -8 18 -6 19 -8 20 -9 18 -9 20 -11 20 -9 20 -10 18 -10 19 -11 18 -10 20 -11 19 -11 19 -13 17 -11 18 -11 17 -13 18 -12 17 -15 17 -14 17 -14 16 -14 15 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,3327582,0,390,0,0,3.72772,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 13 -27 14 -24 15 -28 15 -25 16 -26 16 -22 17 -22 18 -21 19 -22 19 -21 19 -21 21 -22 20 -20 20 -20 18 -17 21 -21 18 -18 18 -18 16 -15 18 -16 17 -16 18 -17 17 -16 16 -17 17 -18 16 -17 0 0 14 -18 16 -20 13 -19 13 -21 12 -18 14 -20 13 -20 13 -19 12 -21 13 -20 11 -21 11 -19 10 -22 11 -20 11 -23 10 -21 11 -24 10 -21 10 -21 9 -22 10 -22 9 -23 9 -23 7 -23 7 -22 6 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,3378718,0,390,0,0,3.77848,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 18 19 16 20 17 20 16 22 14 21 11 22 10 22 8 23 9 23 9 22 12 22 12 23 10 23 11 22 8 22 10 23 9 21 8 19 7 19 5 20 5 20 7 20 6 17 10 18 10 19 8 19 0 0 9 18 10 19 11 18 12 16 11 16 10 18 10 18 9 17 12 17 11 16 14 16 13 15 15 15 13 16 14 16 14 16 16 15 14 14 13 16 13 15 13 16 15 15 15 14 17 12 16 11 16 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,3381011,0,390,0,0,3.80875,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 27 11 25 12 28 13 25 13 26 15 21 15 22 16 19 19 22 18 20 20 22 18 21 19 20 19 20 19 17 17 21 19 18 16 17 17 16 16 16 17 15 17 17 17 15 16 17 15 19 16 17 15 0 0 17 14 20 15 19 12 21 12 17 11 19 13 19 13 18 13 21 12 19 13 21 11 19 11 22 9 19 10 22 10 21 9 24 9 20 9 21 10 21 9 21 11 22 8 21 9 22 6 22 6 21 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,3381975,0,390,0,0,3.84816,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -22 -23 -19 -21 -21 -25 -18 -23 -18 -26 -13 -22 -14 -26 -11 -25 -14 -27 -11 -27 -13 -26 -12 -27 -11 -28 -11 -27 -9 -23 -13 -28 -10 -23 -10 -24 -7 -22 -8 -24 -7 -23 -10 -23 -9 -22 -10 -23 -11 -23 -10 -22 0 0 -11 -20 -13 -22 -13 -19 -15 -20 -12 -18 -12 -20 -12 -20 -12 -19 -15 -19 -13 -21 -16 -19 -14 -18 -17 -18 -14 -18 -17 -20 -16 -17 -19 -19 -16 -17 -15 -18 -16 -18 -16 -19 -18 -17 -17 -17 -18 -16 -18 -15 -18 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,3522750,0,82,0,0,3.92221,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -17 25 -15 21 -19 26 -18 22 -20 23 -18 18 -20 19 -21 17 -22 19 -24 18 -23 18 -23 17 -23 16 -22 15 -20 13 -23 18 -19 15 -20 16 -18 12 -19 14 -19 13 -19 15 -20 13 -18 15 -20 16 -18 14 0 0 -17 15 -18 18 -15 16 -16 19 -13 16 -16 17 -15 18 -15 17 -14 19 -17 19 -15 19 -14 18 -13 19 -12 17 -14 22 -12 19 -14 23 -11 18 -12 20 -11 20 -13 20 -11 21 -12 21 -10 21 -10 21 -9 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-71,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,3822167,0,82,0,0,4.22169,384,[82 -96 4 0 0 0 0 0 0 0 0 0 18 9 17 11 17 12 16 13 15 12 15 11 15 12 14 13 14 14 12 14 13 14 13 13 13 16 12 14 12 14 11 14 11 12 11 12 11 13 10 13 10 14 10 12 11 11 10 13 11 12 11 11 0 0 11 10 11 12 12 10 12 9 11 9 12 10 12 9 12 9 12 9 13 7 13 7 12 8 13 9 15 9 14 8 15 7 14 8 14 6 15 6 14 5 14 6 15 7 14 6 14 7 14 5 14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4326221,0,82,0,0,4.72579,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 24 -11 21 -12 24 -13 22 -15 22 -15 18 -17 18 -19 16 -19 17 -17 18 -15 20 -17 19 -16 19 -16 19 -17 14 -18 18 -16 16 -16 14 -15 13 -16 12 -16 12 -17 13 -14 13 -13 16 -13 16 -14 15 0 0 -14 14 -14 17 -12 16 -12 17 -11 15 -13 15 -13 16 -13 14 -12 17 -12 16 -10 19 -9 17 -8 20 -11 17 -10 19 -10 18 -9 20 -9 17 -11 18 -11 17 -11 17 -10 18 -8 18 -7 20 -6 18 -6 18 0 0 0 0 0 0 0 0 0 0 ]
